,자치구,남자,여자,합계
1,종로구,71890,78563,150453
2,중구,63495,68298,131793
3,용산구,109826,117280,227106
4,성동구,137620,147146,284766
5,광진구,167562,183618,351180
6,동대문구,174120,185753,359873
7,중랑구,189462,198008,387470
8,성북구,208682,229486,438168
9,강북구,141185,151792,292977
10,도봉구,149675,159819,309494
11,노원구,241099,261826,502925
12,은평구,223330,247539,470869
13,서대문구,149879,170750,320629
14,마포구,174073,201089,375162
15,양천구,214161,225091,439252
16,강서구,272338,296488,568826
17,구로구,204715,210936,415651
18,금천구,121592,119513,241105
19,영등포구,195493,202307,397800
20,동작구,187623,202091,389714
21,관악구,249026,248857,497883
22,서초구,196391,215687,412078
23,강남구,262991,287291,550282
24,송파구,316981,343044,660025
25,강동구,226237,237081,463318
