,도착 시군구 코드,평균 이동 시간(분),이동인구(합),총 이동 시간,총 이동인구
0,11010,89.07814915520473,29.359606545112914,75660805,24122435.37
1,11020,86.14793245526978,30.98254571531015,74786540,25934825.41
2,11030,83.35543832973623,23.535457023141745,67096081,18308317.25
3,11040,82.10483721862398,27.76280923662754,63147048,20422036.6
4,11050,84.28655095150972,29.074378410696347,64014005,21150867.55
5,11060,83.88356470469517,27.544189638022747,63583303,19948674.26
6,11070,82.48971605466524,28.783860762673253,53069416,17379700.65
7,11080,83.75819304329787,30.297969421056507,61327474,21024364.63
8,11090,85.79344729633557,27.676528230883555,47088761,14267207.6
9,11100,83.66906838795981,27.034973406706957,43450335,13121454.52
10,11110,85.99649742058105,35.70711842700697,63440818,24595928.6
11,11120,86.78467503049312,34.48559761483507,57483398,21475019.31
12,11130,85.35890324468552,28.088209793879077,64090502,20228893.27
13,11140,85.3690748602816,34.07584665755199,77965192,29571318.3
14,11150,79.9584014495806,29.476305475041876,52859788,18353115.86
15,11160,89.31040844645551,35.444888072398186,81249296,30549525.42
16,11170,82.21000448144275,28.102630145171588,66237754,21444295.8
17,11180,80.23304367330401,21.23343084336652,48309183,12184123.01
18,11190,85.22431735954862,35.356407705765314,82876792,32742818.6
19,11200,81.07300419872858,26.02492440040245,63090087,19341862.11
20,11210,84.48001032631981,29.946832928525374,68982489,23281149.03
21,11220,87.60645017903445,38.171577399678974,95421620,39670923.2
22,11230,90.99536367351863,51.66022969036489,113596100,61257224.24
23,11240,93.5660504484777,45.88119409178258,99745111,46387784.83
24,11250,89.14572482987926,40.240747610121566,67318336,28647259.6
25,21000,295.38784368397603,6.3926747344668495,22841029,483071.0
26,22000,239.82664965672367,5.372476961039397,15602644,343530.34
27,23010,114.90783060545509,9.520111561212397,24961268,1990310.66
28,23020,101.69219232465814,4.6444146449051615,2479697,109873.59
29,23030,101.75541990215001,7.055371515777189,12426881,830442.43
30,23040,106.52193477683316,7.1718650371944745,13900789,912475.76
31,23050,100.00263594725031,7.543991654114537,14210038,1034795.63
32,23060,92.88298488567214,10.046759526326161,17223211,1773994.4
33,23070,86.92302822825825,7.8602076513656005,11498821,995024.79
34,23080,96.16206631566924,10.87982761664434,20693879,2222475.09
35,23310,134.14820387001203,5.393031663734839,6026551,237869.87
36,23320,150.29223643581827,3.8090471989413324,700991,17709.63
37,24000,254.15049908151295,5.331135382776708,12759772,263566.51
38,25000,190.74874711760185,6.03717089418396,19878033,619776.43
39,26000,268.41789465114385,4.271610762842954,7290594,114365.5
40,29000,170.56794675063273,4.841018752864745,9157029,255697.78
41,31011,93.9506291122039,6.788841690537409,10381112,730186.64
42,31012,100.5526313297283,7.169230914928073,11519672,796010.32
43,31013,101.67302167667799,6.449205858127248,10932489,673132.17
44,31014,98.78520391877625,8.753806401977394,13091699,1124011.91
45,31021,74.77348427890675,16.332423098350812,15310517,3153962.79
46,31022,84.26257303334516,10.043776913392943,11488824,1307383.85
47,31023,81.32043394169008,18.576565318093902,22237207,4836294.38
48,31030,86.43339839479076,14.239703538425404,24163278,3706116.87
49,31041,79.41586330647797,9.114140035306681,11926325,1307910.01
50,31042,83.68568034580991,10.965,16566583,2078275.42
51,31050,80.34921360069747,19.58980278988666,26042833,5888093.44
52,31060,68.6163177736772,16.721518545332543,17243497,3941522.33
53,31070,134.49522470102676,6.280184577484856,15617061,714337.05
54,31080,111.61370278776978,5.641121665167866,6373207,312850.33
55,31091,100.40956313844816,6.670765920452076,10088160,648985.44
56,31092,105.13669027688346,6.820716977892252,13186411,831370.88
57,31101,76.44837425821184,19.43574490969609,25254221,5975856.84
58,31103,84.97775781936326,10.597905298959056,18950190,2262195.46
59,31104,90.61916007673655,9.271369987907029,15674159,1543170.14
60,31110,72.81479118370588,10.984596227057146,10956656,1592446.95
61,31120,71.59810697532406,11.836455760031829,17368054,2691313.37
62,31130,83.40926070769326,18.932633044457653,30115809,6365039.58
63,31140,114.59055985844444,5.514735747435082,7990962,375387.44
64,31150,92.4422199756893,9.517800062581989,16783847,1654474.02
65,31160,87.57510925419008,8.706536922313468,11911015,1138904.95
66,31170,82.05460638780772,7.870368839396954,9161501,848084.57
67,31180,76.79062345151561,24.32807759686928,22027253,6508617.53
68,31191,115.25173006567638,6.849344294089126,14001171,811058.3099999999
69,31192,98.59675757634663,10.659523679930537,16644096,1734488.9
70,31193,90.89505633802817,12.158580211267605,14176789,1819820.18
71,31200,103.36793814070175,9.737912801717421,22398961,2021386.01
72,31210,124.41012331801501,6.029367540582537,12023787,566300.98
73,31220,136.90754028937772,4.980367687835044,8604103,307206.76
74,31230,89.44424143145162,13.616837827620968,22253542,3199539.83
75,31240,109.76498478484484,9.931254446682667,22199730,1944737.35
76,31250,100.40887045272792,10.446375760156029,19182092,1910052.5
77,31260,98.286863160129,8.407204301709244,18258120,1490838.07
78,31270,111.33087405339955,6.8177431403533975,11507608,685664.88
79,31280,130.04570437358697,5.127603492632728,6924073,269361.36
80,31350,140.17598162071846,4.78050208855472,3509342,117329.81999999999
81,31370,113.14423329780902,5.730798881676378,8469530,422046.92
82,31380,111.29520549861509,7.113110224104004,12536214,780899.84
83,32000,185.96430142171664,10.35655462267927,40549402,2167629.66
84,33000,173.94823088455772,7.1615818590704645,24604090,989074.84
85,34000,172.623860826061,8.65672810483527,32716179,1580743.25
86,35000,238.44955992704215,6.076255768689329,20951664,525945.18
87,36000,294.2550053882366,5.658802109920027,17058878,322109.97
88,37000,243.22331138524038,5.984591411715032,23102843,555519.79
89,38000,307.59704708417223,5.3774469287556075,19702901,338354.92
90,39000,284.6343251543872,18.90076219411512,8858851,576168.75
