,자치구,택시운송업,택시운송업.1,한식 일반 음식점업,한식 일반 음식점업.1,용달 화물자동차 운송업,용달 화물자동차 운송업.1,부동산 중개 및 대리업,부동산 중개 및 대리업.1,두발미용업,두발미용업.1,커피전문점,커피전문점.1,남녀용 겉옷 및 셔츠 도매업,남녀용 겉옷 및 셔츠 도매업.1,기타주점업,기타주점업.1,일반 교과 학원,일반 교과 학원.1,한식 육류요리 전문점,한식 육류요리 전문점.1
2,종로구,215,215,"1,548","5,912",618,646,549,889,261,480,948,"3,613",400,962,537,"1,413",110,382,437,"1,982"
20,중구,230,235,"1,588","6,414",300,333,576,"1,152",339,816,869,"3,542","10,810","24,248",381,982,57,175,443,"2,121"
36,용산구,416,523,857,"2,987",455,466,791,"1,214",366,777,634,"2,076",54,317,487,"1,332",104,573,300,"1,184"
53,성동구,"1,200","2,527",956,"2,785","1,072","1,161",801,"1,453",489,851,547,"1,859",149,"1,572",285,621,258,"1,494",400,"1,545"
71,광진구,"1,119","1,744",963,"2,861",968,985,871,"1,313",746,"1,337",590,"1,887",89,687,633,"1,577",413,"1,646",467,"1,678"
87,동대문구,"1,546","2,093","1,236","3,566","1,431","1,456",842,"1,208",611,891,494,"1,472",211,976,499,"1,082",302,984,442,"1,509"
102,중랑구,"3,634","6,262",991,"2,479","1,804","1,877",738,"1,104",790,"1,108",381,"1,037",63,284,535,"1,000",288,"1,045",499,"1,504"
119,성북구,"1,835","2,643",973,"2,822","1,312","1,335",846,"1,175",739,"1,245",457,"1,384",85,454,512,"1,030",464,"1,755",365,"1,334"
140,강북구,"1,713","2,589",965,"2,663","1,024","1,030",589,867,673,997,358,"1,095",40,94,580,"1,275",220,740,362,"1,176"
154,도봉구,"2,993","5,783",672,"2,009","1,571","1,574",515,794,600,847,288,837,22,43,258,477,351,"1,162",302,943
169,노원구,"4,114","6,074",866,"2,650","1,730","1,736",714,"1,053",782,"1,353",535,"1,748",30,123,355,844,735,"3,281",428,"1,557"
189,은평구,"3,108","4,430",881,"2,585","1,340","1,349","1,134","1,614",947,"1,443",457,"1,296",26,74,484,925,551,"1,793",476,"1,639"
206,서대문구,"1,747","2,677",863,"2,694",802,808,667,956,598,"1,185",370,"1,323",22,68,497,"1,127",361,"1,268",311,"1,088"
221,마포구,"1,165","1,838","1,411","4,705",770,829,"1,149","1,903",896,"2,042","1,369","4,475",96,"1,209","1,011","2,559",469,"1,855",701,"2,928"
238,양천구,"2,735","4,942",831,"2,800","1,286","1,293",922,"1,364",838,"1,428",402,"1,375",25,52,415,851,"1,284","5,804",281,"1,111"
257,강서구,"3,735","6,922","1,325","4,584","1,799","1,862","1,311","2,352","1,015","1,751",690,"2,530",78,700,794,"1,709",672,"2,347",581,"2,274"
278,구로구,"2,757","3,817","1,048","3,215","1,318","1,351",789,"1,213",729,"1,134",421,"1,384",114,923,576,"1,165",336,"1,111",428,"1,496"
294,금천구,"1,100","2,598",867,"2,619",935,997,671,"1,381",488,715,383,"1,215",200,"2,575",391,685,153,487,300,"1,042"
305,영등포구,"1,349","2,397","1,738","6,476","1,281","1,429",986,"1,566",673,"1,261",838,"3,295",76,"1,220",636,"1,489",288,"1,082",494,"2,151"
324,동작구,"1,033","1,115",765,"2,322",830,844,883,"1,483",651,"1,105",486,"1,628",20,199,439,955,407,"1,463",331,"1,177"
340,관악구,"1,286","2,027","1,226","3,689","1,579","1,600","1,010","2,136",895,"1,604",581,"2,049",31,190,658,"1,672",354,"1,230",422,"1,628"
362,서초구,417,903,"1,564","6,712",386,411,"1,457","2,758",676,"1,832","1,012","3,897",157,"1,563",446,"1,255",812,"3,812",445,"2,338"
381,강남구,"1,796","2,517","2,415","11,486",445,487,"2,337","6,508","1,241","6,255","1,624","7,273",384,"8,320",713,"2,528","1,426","9,020",827,"5,008"
404,송파구,"2,638","4,850","1,575","5,760","1,910","1,931","1,677","3,190","1,137","2,328",975,"3,372",147,"2,830",628,"1,469",876,"4,160",639,"2,781"
432,강동구,"3,295","4,980","1,101","3,388","1,528","1,566","1,188","1,990",900,"1,429",546,"1,660",59,"1,433",589,"1,349",620,"2,104",428,"1,459"
